generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,2277237028385.0503,0.0,2.277238028390067,2.277238028390067,5.016666666666654,0,1,9.532529921038076,301,2277237.02838505,"[0.0, 2.277238028390067, -1.0, -5.016666666666654]",0,64,64,0,64,0,64,0,321.06666666666587,321.06666666666587,19264,19264,39.484646600001724,39.61321479998878,0.0,1.9864173446382796,1.9864173446382796,1986416.344633263,5.016666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8069131033761159,1.8860282897949219,1.918614251273019,1.9830186026436942,1.9864173446382796,0.08714565065070604,2.0399624960763116,2.0924622671944753,2.277238028390067,1.8069131033761159,1.8860282897949219,1.918614251273019,1.9830186026436942,1.9864173446382796,0.08714565065070604,2.0399624960763116,2.0924622671944753,2.277238028390067,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,0.0,5.016666666666654,5.016666666666654,5.016666666666654,4.478094357800728,5.282419756232412,5.623731453619257,6.2975185294417315,6.354775776860947,0.9365624350364933,6.926518181338906,7.475675329462684,9.532529921038076,1806912.1033710993,1886027.2897899053,1918613.2512680024,1983017.6026386777,1986416.344633263,87145.65065070603,2039961.4960712946,2092461.2671894587,2277237.02838505,1806912103371.0994,1886027289789.9053,1918613251268.0024,1983017602638.6777,1986416344633.2627,87145650650.70604,2039961496071.295,2092461267189.4587,2277237028385.0503,301.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0
2,3400670822677.8516,2.857142857142857,3.4006718226841515,3.4006718226841515,6.299999999999983,0,1,22.090489075053483,378,3400670.8226778517,"[0.0, 3.4006718226841515, -1.0, -6.299999999999983]",0,64,64,0,64,0,64,0,322.3499999999992,643.4166666666652,19341,38605,29.86940369999502,71.05742389999796,0.044642857142857144,2.081683192934309,2.081683192934309,2081682.192929272,5.036718749999988,0.0,0.0,0.0,0.0,0.044642857142857144,0.3543416934461505,0.0,0.0,2.857142857142857,1.886405944824219,1.969569069998605,1.9845294952392578,2.038895743233817,2.081683192934309,0.2001972306351104,2.1027578626360213,2.165752410888672,3.4006718226841515,1.886405944824219,1.969569069998605,1.9845294952392578,2.038895743233817,2.081683192934309,0.2001972306351104,2.1027578626360213,2.165752410888672,3.4006718226841515,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,5.036718749999988,0.15915847730622873,5.016666666666654,5.016666666666654,6.299999999999983,5.289155923121143,6.16781129372248,6.322049735190376,6.9181319148192415,7.3919231372851755,2.221127247402535,7.603463311017549,8.297106755786809,22.090489075053483,1886404.9448192024,1969568.0699935884,1984528.4952342412,2038894.7432288006,2081682.192929272,200197.2306349783,2102756.8626310043,2165751.4108836553,3400670.8226778517,1886404944819.2024,1969568069993.5884,1984528495234.2412,2038894743228.8005,2081682192929.272,200197230634.9783,2102756862631.0046,2165751410883.6553,3400670822677.8516,301.0,301.0,301.0,301.0,302.203125,9.549508638373757,301.0,301.0,378.0
3,3400670822677.8516,2.857142857142857,3.4006718226841515,3.4006718226841515,6.299999999999983,0,1,22.090489075053483,378,3400670.8226778517,"[0.0, 3.4006718226841515, -1.0, -6.299999999999983]",0,64,64,0,64,0,64,0,322.3499999999992,965.7666666666644,19341,57946,26.94674839999061,99.41594589999295,0.044642857142857144,2.1606475114822388,2.1606475114822388,2160646.511477202,5.036718749999988,0.0,0.0,0.0,0.0,0.044642857142857144,0.3543416934461506,0.0,0.0,2.857142857142857,1.9018663678850447,1.976593017578125,2.0318126678466797,2.113568442208426,2.1606475114822388,0.2201327315720744,2.2217696053641185,2.3030455453055243,3.4006718226841515,1.9018663678850447,1.976593017578125,2.0318126678466797,2.113568442208426,2.1606475114822388,0.2201327315720744,2.2217696053641185,2.3030455453055243,3.4006718226841515,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,5.036718749999988,0.15915847730622873,5.016666666666654,5.016666666666654,6.299999999999983,5.4519793289509835,6.246205307655328,6.838154963617853,7.723268091125647,8.262635261670994,2.4452705293930133,8.918052281391283,9.822146418296326,22.090489075053483,1901865.367880028,1976592.0175731082,2031811.6678416631,2113567.44220341,2160646.511477202,220132.73157196149,2221768.6053591017,2303044.545300508,3400670.8226778517,1901865367880.028,1976592017573.1084,2031811667841.663,2113567442203.41,2160646511477.2021,220132731571.96146,2221768605359.1016,2303044545300.508,3400670822677.8516,301.0,301.0,301.0,301.0,302.203125,9.549508638373757,301.0,301.0,378.0
4,7142856142848.226,5.714285714285714,7.142857142857142,7.142857142857142,8.91666666666669,0,1,67.3225345313549,535,7142856.142848225,"[0.0, 7.142857142857142, -1.0, -8.91666666666669]",0,64,64,0,64,0,64,0,328.14999999999924,1293.9166666666636,19689,77635,21.842894899993553,121.97287299999152,0.17857142857142858,2.3527793373380392,2.3527793373380392,2352778.337332912,5.127343749999988,0.0,0.0,0.0,0.0,0.17857142857142858,0.8563984863058427,0.0,0.0,5.714285714285714,1.892427716936384,2.047914777483259,2.1004349844796315,2.2266823904854913,2.3527793373380392,0.6697240595642893,2.3483957563127795,2.5948704310825894,7.142857142857142,1.892427716936384,2.047914777483259,2.1004349844796315,2.2266823904854913,2.3527793373380392,0.6697240595642893,2.3483957563127795,2.5948704310825894,7.142857142857142,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,5.127343749999988,0.5545688326702776,5.016666666666654,5.016666666666654,8.91666666666669,5.347733202921518,7.030282946161606,7.586718865908551,8.993285479285987,10.470446413475202,7.885200297089787,10.325272045760357,13.089314064771315,67.3225345313549,1892426.7169313673,2047913.7774782425,2100433.984474615,2226681.3904804746,2352778.337332912,669724.0595637657,2348394.7563077626,2594869.4310775725,7142856.142848225,1892426716931.3672,2047913777478.2424,2100433984474.615,2226681390480.4746,2352778337332.9116,669724059563.7656,2348394756307.7627,2594869431077.5723,7142856142848.226,301.0,301.0,301.0,301.0,307.640625,33.27412996021646,301.0,301.0,535.0
5,7142856142848.226,5.714285714285714,7.142857142857142,7.142857142857142,8.91666666666669,0,1,67.3225345313549,535,7142856.142848225,"[0.0, 7.142857142857142, -1.0, -8.91666666666669]",0,64,64,0,64,0,64,0,332.3999999999992,1626.3166666666627,19944,97579,20.990869400004158,144.21384439998656,0.3125,2.4853896243231635,2.4853896243231635,2485388.62431797,5.193749999999987,0.0,0.0,0.0,0.0,0.3125,1.024842882432946,0.0,0.0,5.714285714285714,1.9312722342354909,2.115517207554409,2.1682698386056085,2.31219972882952,2.4853896243231635,0.6934060861425454,2.5831821986607144,2.7734097072056363,7.142857142857142,1.9312722342354909,2.115517207554409,2.1682698386056085,2.31219972882952,2.4853896243231635,0.6934060861425454,2.5831821986607144,2.7734097072056363,7.142857142857142,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,5.193749999999987,0.6270348818491348,5.016666666666654,5.016666666666654,8.91666666666669,5.762499207761721,7.749263593374053,8.325570612341835,9.925004169675958,11.948011400630094,8.132655662422945,12.964565845824836,15.245623618594257,67.3225345313549,1931271.2342304743,2115516.207549392,2168268.8386005918,2312198.7288245037,2485388.62431797,693406.0861419609,2583181.198655698,2773408.7072006194,7142856.142848225,1931271234230.4744,2115516207549.392,2168268838600.5918,2312198728824.5034,2485388624317.97,693406086141.9609,2583181198655.6978,2773408707200.6196,7142856142848.226,301.0,301.0,301.0,301.0,311.625,37.62209291094795,301.0,301.0,535.0
6,7142856142848.226,5.714285714285714,7.142857142857142,7.142857142857142,8.91666666666669,0,1,67.3225345313549,535,7142856.142848225,"[0.0, 7.142857142857142, -1.0, -8.91666666666669]",0,64,64,0,64,0,64,0,337.3333333333325,1963.6499999999953,20240,117819,15.532295600001817,161.00909819999652,0.4910714285714286,2.5852610383714945,2.5852610383714945,2585260.038366224,5.270833333333321,0.0,0.0,0.0,0.0,0.4910714285714286,1.1903831808904808,0.0,2.857142857142857,5.714285714285714,1.9391523088727678,2.0814241681780135,2.2949341365269254,2.401117597307478,2.5852610383714945,0.6913388019560346,2.685462406703404,3.1375100272042413,7.142857142857142,1.9391523088727678,2.0814241681780135,2.2949341365269254,2.401117597307478,2.5852610383714945,0.6913388019560346,2.685462406703404,3.1375100272042413,7.142857142857142,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,5.270833333333321,0.6807624402095067,5.016666666666654,6.174999999999985,8.91666666666669,5.852300169048249,7.385311194980023,9.726941762077331,10.906658219595556,13.072462894208797,8.102978594291935,14.120571642144569,19.209142105497452,67.3225345313549,1939151.3088677512,2081423.168172997,2294933.136521909,2401116.597302461,2585260.038366224,691338.8019554293,2685461.406698387,3137509.027198363,7142856.142848225,1939151308867.7512,2081423168172.9968,2294933136521.9087,2401116597302.4614,2585260038366.224,691338801955.4294,2685461406698.387,3137509027198.363,7142856142848.226,301.0,301.0,301.0,301.0,316.25,40.84574641257031,301.0,370.50000000000006,535.0
7,8283578690103.859,5.714285714285714,8.283579690115793,8.283579690115793,11.933333333333506,0,1,76.62146123498678,716,8283578.69010386,"[0.0, 8.283579690115793, -1.0, -11.933333333333506]",0,64,64,0,64,0,64,0,367.59999999999957,2331.249999999995,22056,139875,25.124058999994304,186.53515999999945,1.0714285714285714,3.002927005290985,3.002927005290985,3002926.0052852416,5.743749999999993,0.0,0.0,0.0,0.0,1.0714285714285714,1.556749622693098,2.857142857142857,2.857142857142857,5.714285714285714,2.0617948259626115,2.2597563607352122,2.374098641531808,2.6376288277762274,3.002927005290985,1.0756979263358784,3.1905038016183034,3.9107175554547995,8.283579690115793,2.0617948259626115,2.2597563607352122,2.374098641531808,2.6376288277762274,3.002927005290985,1.0756979263358784,3.1905038016183034,3.9107175554547995,8.283579690115793,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,5.743749999999993,1.4234473144252708,5.945833333333318,7.138333333333314,11.933333333333506,7.159729212522507,9.359199732103297,10.613307867759431,13.556700777095102,17.82289614842216,12.334492336833986,20.309774152981845,27.815257691498847,76.62146123498678,2061793.825957595,2259755.360730196,2374097.6415267913,2637627.827771211,3002926.0052852416,1075697.9263345515,3190502.801612345,3910716.555447476,8283578.69010386,2061793825957.595,2259755360730.196,2374097641526.7915,2637627827771.211,3002926005285.241,1075697926334.5515,3190502801612.3447,3910716555447.476,8283578690103.859,301.0,301.0,301.0,301.0,344.625,85.40683886551474,356.75,428.3,716.0
8,8756489434907.649,8.571428571428571,8.756490434919083,8.756490434919083,11.433333333333481,0,1,77.83915214240551,686,8756489.434907649,"[0.0, 8.756490434919083, -1.0, -11.433333333333481]",0,64,64,0,64,0,64,0,425.7166666666668,2756.9666666666617,25543,165418,29.185832599992864,216.84491109999362,2.321428571428571,3.759176390511649,3.759176390511649,3759175.390504997,6.651822916666669,0.0,0.0,0.0,2.857142857142857,2.321428571428571,1.8813667415808462,2.857142857142857,4.857142857142866,8.571428571428571,2.102137974330357,2.4303207397460938,2.71343503679548,3.136969975062779,3.759176390511649,1.6299510394760832,4.0028149741036545,6.001193455287391,8.756490434919083,2.102137974330357,2.4303207397460938,2.71343503679548,3.136969975062779,3.759176390511649,1.6299510394760832,4.0028149741036545,6.001193455287391,8.756490434919083,5.016666666666654,5.016666666666654,5.016666666666654,5.991666666666651,6.651822916666669,1.8965843686091999,7.358333333333313,9.36166666666671,11.933333333333506,7.598393519874662,11.248974880624155,14.63606561128654,19.138995575151057,26.432677331824152,18.38839963451919,29.289307956583798,52.98913974352183,77.83915214240551,2102136.9743253407,2430319.739741077,2713434.036790463,3136968.9750569705,3759175.390504997,1629951.0394743688,4002813.974096005,6001192.455276923,8756489.434907649,2102136974325.3406,2430319739741.077,2713434036790.4634,3136968975056.9707,3759175390504.997,1629951039474.3687,4002813974096.005,6001192455276.924,8756489434907.649,301.0,301.0,301.0,359.5,399.109375,113.79506211654957,441.5,561.7,716.0
9,9038444608944.291,8.571428571428571,9.038445608956474,9.038445608956474,12.183333333333518,0,1,79.35755466669798,731,9038444.608944291,"[0.0, 9.038445608956474, -1.0, -12.183333333333518]",0,64,64,0,64,0,64,0,510.25000000000205,3267.2166666666635,30615,196033,26.106852400000207,243.51924179999332,3.303571428571429,4.69003221818379,4.69003221818379,4690031.218175817,7.972656250000032,0.0,0.0,2.857142857142857,2.857142857142857,3.303571428571429,1.9703639723851707,5.714285714285714,5.714285714285714,8.571428571428571,2.1693038940429688,2.802943638392857,3.2367692674909314,4.371700286865234,4.69003221818379,1.8712444694668378,5.776542936052595,7.974267687116352,9.038445608956474,2.1693038940429688,2.802943638392857,3.2367692674909314,4.371700286865234,4.69003221818379,1.8712444694668378,5.776542936052595,7.974267687116352,9.038445608956474,5.016666666666654,5.016666666666654,5.966666666666651,7.441666666666645,7.972656250000032,2.419729322248126,9.86250000000007,11.750000000000165,13.266666666666906,8.340122684618109,15.416634955145128,20.286462251782723,34.04139505838975,37.01522905673971,20.997597419275746,50.239146165084094,75.21867402791977,79.35755466669798,2169302.894037952,2802942.6383878407,3236768.267485032,4371699.286858452,4690031.218175817,1871244.46946477,5776541.936040599,7974266.687105636,9038444.608944291,2169302894037.9521,2802942638387.841,3236768267485.0317,4371699286858.451,4690031218175.817,1871244469464.77,5776541936040.599,7974266687105.637,9038444608944.291,301.0,301.0,358.0,446.5,478.359375,145.18375933488352,591.75,705.0,796.0
10,9506420770360.605,8.571428571428571,9.506421770368304,9.506421770368304,7.699999999999978,0,1,81.50176425278187,462,9506420.770360606,"[0.0, 9.506421770368304, -1.0, -7.699999999999978]",0,64,64,0,64,0,64,0,567.3000000000033,3834.516666666667,34038,230071,40.43133280001348,285.01694809999026,4.196428571428571,5.656941149915967,5.656941149915967,5656940.149907103,8.86406250000005,0.0,2.857142857142857,2.857142857142857,2.857142857142857,4.196428571428571,2.140996215764607,5.714285714285714,5.714285714285714,8.571428571428571,2.5443431309291293,3.1141809735979353,3.783040727887835,5.315851484026227,5.656941149915967,2.116728420963169,7.782314845493861,8.425333840506418,9.506421770368304,2.5443431309291293,3.1141809735979353,3.783040727887835,5.315851484026227,5.656941149915967,2.116728420963169,7.782314845493861,8.425333840506418,9.506421770368304,5.016666666666654,5.816666666666651,6.6166666666666485,8.216666666666654,8.86406250000005,2.7092533994082735,11.1416666666668,12.173333333333519,18.866666666666877,12.51270141400164,18.95607134961683,26.414247693144716,45.029870895668864,47.48568737128301,23.035296992024897,73.45347361825407,76.97936723157764,81.50176425278187,2544342.1309241126,3114179.9735921808,3783039.7278807475,5315850.484018536,5656940.149907103,2116728.4209611067,7782313.845481894,8425332.8404964,9506420.770360606,2544342130924.113,3114179973592.1807,3783039727880.7476,5315850484018.536,5656940149907.104,2116728420961.1067,7782313845481.895,8425332840496.399,9506420770360.605,301.0,349.0,397.0,493.0,531.84375,162.5552039644917,668.5,730.4,1132.0
11,9506420770360.605,8.571428571428571,9.506421770368304,9.506421770368304,7.699999999999978,0,1,81.50176425278187,462,9506420.770360606,"[0.0, 9.506421770368304, -1.0, -7.699999999999978]",0,64,64,0,64,0,64,0,626.8833333333389,4461.400000000006,37613,267684,37.54316099999414,323.81776769999124,5.401785714285714,6.733054901872363,6.733054901872363,6733053.901862567,9.79505208333342,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.401785714285714,2.14982127282759,5.714285714285714,8.571428571428571,8.571428571428571,2.4295915876116068,4.085365840366909,5.450607027326312,7.142857142857142,6.733054901872363,1.807516551616827,8.264132227216448,8.89649336678641,9.506421770368304,2.4295915876116068,4.085365840366909,5.450607027326312,7.142857142857142,6.733054901872363,1.807516551616827,8.264132227216448,8.89649336678641,9.506421770368304,4.533333333333323,6.006666666666651,7.649999999999978,9.691666666666727,9.79505208333342,2.9254609674866505,11.67500000000016,13.86000000000027,17.80000000000027,11.224699215439614,30.156565453764053,45.8798236255534,66.14893377944827,59.297399893473994,18.868203361767232,74.08646563393995,78.5321350093931,81.50176425278187,2429590.5876065902,4085364.8403591854,5450606.027315557,7142856.142846342,6733053.901862567,1807516.5516150144,8264131.227207907,8896492.366771784,9506420.770360606,2429590587606.5903,4085364840359.185,5450606027315.557,7142856142846.343,6733053901862.566,1807516551615.0144,8264131227207.906,8896492366771.783,9506420770360.605,272.0,360.4,459.0,581.5,587.703125,175.52765804919284,700.5,831.6000000000001,1068.0
12,9749686739770.338,8.571428571428571,9.74968773978097,9.74968773978097,10.633333333333441,0,1,82.78836980834603,638,9749686.739770338,"[0.0, 9.74968773978097, -1.0, -10.633333333333441]",0,64,64,0,64,0,64,0,614.8166666666714,5076.216666666677,36889,304573,47.163336400000844,372.21568099998694,5.625,7.043225084032331,7.043225084032331,7043224.084022725,9.60651041666674,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.625,2.3673345684933667,8.571428571428571,8.571428571428571,8.571428571428571,2.3394557407924106,3.9617985316685274,5.512706211635045,7.342064721243723,7.043225084032331,1.9641160073564825,8.693199838910784,9.230498722621373,9.74968773978097,2.3394557407924106,3.9617985316685274,5.512706211635045,7.342064721243723,7.043225084032331,1.9641160073564825,8.693199838910784,9.230498722621373,9.74968773978097,4.866666666666655,6.009999999999984,7.129166666666647,8.816666666666684,9.60651041666674,3.332710380835854,11.40833333333348,14.38333333333363,18.483333333333565,10.222593419865007,28.70457357168198,47.13305938895792,71.57304962724447,62.098133714847336,19.989386580844045,77.54517536051571,79.94317080006003,82.78836980834603,2339454.740787394,3961797.531661909,5512705.211627211,7342063.721235581,7043224.084022725,1964116.0073546204,8693198.838902114,9230497.722611886,9749686.739770338,2339454740787.394,3961797531661.909,5512705211627.212,7342063721235.581,7043224084022.725,1964116007354.6204,8693198838902.113,9230497722611.887,9749686739770.338,292.0,360.6,427.75,529.0,576.390625,199.9626228501451,684.5,863.0000000000001,1109.0
13,9749686739770.338,8.571428571428571,9.74968773978097,9.74968773978097,10.633333333333441,0,1,82.78836980834603,638,9749686.739770338,"[0.0, 9.74968773978097, -1.0, -10.633333333333441]",0,64,64,0,64,0,64,0,613.5833333333377,5689.800000000015,36815,341388,40.69376090000151,413.5271999999968,5.848214285714286,7.264499706881386,7.264499706881386,7264498.7068718,9.587239583333401,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.848214285714286,2.3920407722533596,8.571428571428571,8.571428571428571,8.571428571428571,2.466479710170201,4.409971509660994,5.671236855643135,7.529860905238559,7.264499706881386,1.9552080898991344,9.142402921404157,9.463590621948242,9.74968773978097,2.466479710170201,4.409971509660994,5.671236855643135,7.529860905238559,7.264499706881386,1.9552080898991344,9.142402921404157,9.463590621948242,9.74968773978097,4.149999999999991,5.631666666666652,6.799999999999981,8.550000000000004,9.587239583333401,3.786480819726426,11.829166666666834,14.866666666666987,20.733333333333437,11.642082796228351,34.63559524547309,49.437884571030736,72.77777156233788,64.05555926815873,19.018151340672812,79.46972849080339,81.3559737071395,82.78836980834603,2466478.7101651845,4409970.509653292,5671235.85563596,7529859.90522901,7264498.7068718,1955208.089897154,9142401.921395395,9463589.621938672,9749686.739770338,2466478710165.1846,4409970509653.292,5671235855635.96,7529859905229.01,7264498706871.801,1955208089897.1538,9142401921395.395,9463589621938.672,9749686739770.338,249.0,337.90000000000003,408.0,513.0,575.234375,227.1888491835798,709.75,892.0000000000001,1244.0
