generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,current_mutation_prob,current_mutation_sigma,cached_evaluations,evaluated_count,rollout_count,mirror_rollout_count,mirror_individual_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,mean_physics_tick_count,mean_physics_hz,mean_physics_delay_norm,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max,physics_tick_min,physics_tick_p10,physics_tick_p25,physics_tick_median,physics_tick_mean,physics_tick_std,physics_tick_p75,physics_tick_p90,physics_tick_max,physics_hz_min,physics_hz_p10,physics_hz_p25,physics_hz_median,physics_hz_mean,physics_hz_std,physics_hz_p75,physics_hz_p90,physics_hz_max,physics_delay_norm_min,physics_delay_norm_p10,physics_delay_norm_p25,physics_delay_norm_median,physics_delay_norm_mean,physics_delay_norm_std,physics_delay_norm_p75,physics_delay_norm_p90,physics_delay_norm_max
1,8571399331425.571,5.714285714285714,8.571428571428571,8.571428571428571,29.24000000000177,0,3,2226.565349837765,2924,8571399.331425572,"[0.0, 8.571428571428571, -29.24000000000177, -3.0]",0.1,0.25,0,48,48,0,0,48,0,41,7,36,12,602.3600000000222,602.3600000000222,60236,60236,19.612556800013408,19.648128299973905,2.142857142857143,3.193985167003813,3.193985167003813,3193972.617836042,12.549166666667128,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.142857142857143,2.439750182371333,5.714285714285714,5.714285714285714,5.714285714285714,0.0,0.0,1.883295604160854,1.883730207170759,3.193985167003813,2.546944425040978,5.714285714285714,7.142857142857142,8.571428571428571,0.0,0.0,1.883295604160854,1.883730207170759,3.193985167003813,2.546944425040978,5.714285714285714,7.142857142857142,8.571428571428571,4.669999999999945,5.009999999999938,5.009999999999938,5.714999999999923,12.549166666667128,10.884872115566665,29.4300000000018,30.00000000000189,30.00000000000189,5.134538386773784,5.134598802460824,5.135220599091554,18.436815499622753,349.55672386191844,741.060229079039,293.59913163105375,2246.4774726043456,2313.9139570109546,-30.00000000000189,-30.00000000000189,1883290.5941598539,1883725.1971697588,3193972.617836042,2546943.230150768,5714255.714283715,7142838.791855142,8571399.331425572,-30000000.00000189,-30000000.00000189,1883290594159.854,1883725197169.7588,3193972617836.0425,2546943230150.768,5714255714283.715,7142838791855.143,8571399331425.571,467.0,501.0,501.0,571.5,1254.9166666666667,1088.4872115565815,2943.0,3000.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8571419681425.571,5.714285714285714,8.571428571428571,8.571428571428571,8.889999999999855,0,3,247.48989081010222,889,8571419.681425571,"[0.0, 8.571428571428571, -8.889999999999855, -3.0]",0.1,0.25,0,48,48,0,0,48,0,48,0,34,14,796.3500000000328,1398.710000000055,79635,139871,18.7211413999903,38.44064470002195,5.059523809523809,6.613060633341472,6.613060633341472,6613044.042714658,16.59062500000068,1.0,100.0,0.0,0.0,2.857142857142857,5.714285714285714,5.714285714285714,5.059523809523809,1.569217419817151,5.714285714285714,5.714285714285714,5.714285714285714,1.8837084089006695,3.068800789969308,5.714285714285714,7.142857142857142,6.613060633341472,1.7884225114357626,7.646366528102329,8.571428571428571,8.571428571428571,1.8837084089006695,3.068800789969308,5.714285714285714,7.142857142857142,6.613060633341472,1.7884225114357626,7.646366528102329,8.571428571428571,8.571428571428571,4.789999999999942,5.436999999999928,5.729999999999922,11.349999999999802,16.59062500000068,11.035491116970228,30.00000000000189,30.00000000000189,30.00000000000189,5.134548124362482,18.435515217320063,68.1420295031403,108.24683082193587,950.5858916343385,1061.1159475867519,2288.6298404019326,2311.0751934645696,2320.4548492785543,1883703.3988996695,3068795.0669683083,5714255.714283715,7142839.397855142,6613044.042714658,1788418.2703477605,7646354.518099579,8571399.037425572,8571419.681425571,1883703398899.6694,3068795066968.308,5714255714283.715,7142839397855.143,6613044042714.659,1788418270347.7607,7646354518099.579,8571399037425.571,8571419681425.571,479.0,543.7,573.0,1135.0,1659.0625,1103.54911169693,3000.0,3000.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8571420191425.571,5.714285714285714,8.571428571428571,8.571428571428571,8.379999999999866,0,3,219.3775555137545,838,8571420.191425571,"[0.0, 8.571428571428571, -8.379999999999866, -3.0]",0.1,0.25,0,48,48,0,0,48,0,48,0,32,16,827.2800000000329,2225.990000000088,82728,222599,18.20702639996307,56.71786949998932,4.880952380952381,6.528821445646739,6.528821445646739,6528804.210644636,17.235000000000685,1.0,100.0,0.0,0.0,2.0000000000000004,5.714285714285714,5.714285714285714,4.880952380952381,1.8404315278262269,5.714285714285714,5.714285714285714,5.714285714285714,1.8819046020507812,2.715188707624163,5.714285714285714,7.142857142857142,6.528821445646739,2.183149277296376,8.571428571428571,8.571428571428571,8.571428571428571,1.8819046020507812,2.715188707624163,5.714285714285714,7.142857142857142,6.528821445646739,2.183149277296376,8.571428571428571,8.571428571428571,8.571428571428571,5.009999999999938,5.499999999999927,8.402499999999865,11.774999999999793,17.235000000000685,10.630195788414214,30.00000000000189,30.00000000000189,30.00000000000189,5.134449401521124,14.445416218286848,103.15069579197188,244.75791101437062,1047.0605043984933,1032.5515967930273,2306.2828463315964,2313.837019936554,2320.987473880872,1881899.5920497812,2715183.200623163,5714255.714283715,7142836.242855143,6528804.210644636,2183145.349361353,8571399.10142632,8571419.660425572,8571420.191425571,1881899592049.7812,2715183200623.163,5714255714283.715,7142836242855.143,6528804210644.636,2183145349361.3533,8571399101426.321,8571419660425.571,8571420191425.571,501.0,550.0,840.25,1177.5,1723.5,1063.0195788413307,3000.0,3000.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11428564848568.43,8.571428571428571,11.428571428571429,11.428571428571429,6.579999999999904,0,3,136.0269665569067,658,11428564.84856843,"[0.0, 11.428571428571429, -6.579999999999904, -3.0]",0.1,0.25,0,48,48,0,0,48,0,48,0,25,23,1007.250000000048,3233.240000000136,100725,323324,27.44666070002131,84.23317630001111,5.595238095238095,7.117549805414108,7.117549805414108,7117528.821036753,20.984375000001,1.0,100.0,0.0,0.0,5.714285714285714,5.714285714285714,5.714285714285714,5.595238095238095,1.2986562041232994,5.714285714285714,5.714285714285714,8.571428571428571,1.883730207170759,5.714285714285714,5.714285714285714,7.142857142857142,7.117549805414108,1.747710433743718,8.571428571428571,8.571428571428571,11.428571428571429,1.883730207170759,5.714285714285714,5.714285714285714,7.142857142857142,7.117549805414108,1.747710433743718,8.571428571428571,8.571428571428571,11.428571428571429,5.009999999999938,8.367999999999865,8.60249999999986,28.73000000000169,20.984375000001,10.230062297434667,30.00000000000189,30.00000000000189,30.00000000000189,5.1345790187479,194.37237882670016,231.66011405643076,1942.7155948439613,1388.0914711827847,986.4464919373066,2310.9690725682303,2316.7966344607994,2347.5853234045208,1883725.1971697588,5714255.714283715,5714255.714283715,7142830.197855143,7117528.821036753,1747712.2290684236,8571400.366425572,8571420.154425573,11428564.84856843,1883725197169.7588,5714255714283.715,5714255714283.715,7142830197855.143,7117528821036.755,1747712229068.4233,8571400366425.571,8571420154425.571,11428564848568.43,501.0,836.8,860.25,2873.0,2098.4375,1023.0062297433726,3000.0,3000.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,11428564848568.43,8.571428571428571,11.428571428571429,11.428571428571429,6.579999999999904,0,3,136.0269665569067,658,11428564.84856843,"[0.0, 11.428571428571429, -6.579999999999904, -3.0]",0.1,0.25,0,48,48,0,0,48,0,48,0,31,17,805.7100000000341,4038.9500000001703,80571,403895,20.390093100024387,104.70861660002265,4.8809523809523805,6.432934829166957,6.432934829166957,6432918.043540041,16.78562500000071,1.0,100.0,0.0,0.0,0.0,5.714285714285714,5.714285714285714,4.8809523809523805,2.099427629589095,5.714285714285714,5.714285714285714,8.571428571428571,1.8826402936662947,1.8837378365652901,5.714285714285714,7.142857142857142,6.432934829166957,2.317853253355154,7.410663877214704,8.571428571428571,11.428571428571429,1.8826402936662947,1.8837378365652901,5.714285714285714,7.142857142857142,6.432934829166957,2.317853253355154,7.410663877214704,8.571428571428571,11.428571428571429,4.279999999999953,5.009999999999938,5.922499999999918,8.449999999999864,16.78562500000071,11.18410551971243,30.00000000000189,30.00000000000189,30.00000000000189,5.134414356900379,5.135401398463728,65.49165957496007,222.55899686645716,914.9200211030326,990.1716567112993,2238.8389229673776,2306.7422779522835,2318.087653722614,1882635.2836652948,1883732.82656429,5714255.714283715,7142827.142855142,6432918.043540041,2317849.4881163607,7410656.384713454,8571420.147425571,11428564.84856843,1882635283665.2947,1883732826564.2903,5714255714283.715,7142827142855.143,6432918043540.039,2317849488116.3604,7410656384713.453,8571420147425.571,11428564848568.43,428.0,501.0,592.25,845.0,1678.5625,1118.410551971152,3000.0,3000.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,14433674573077.357,14.285714285714285,14.433680943080358,14.433680943080358,6.369999999999909,0,3,126.21066437475383,637,14433674.573077358,"[0.0, 14.433680943080358, -6.369999999999909, -3.0]",0.1,0.25,0,48,48,0,0,48,0,48,0,30,18,841.7600000000348,4880.710000000205,84176,488071,21.78687529999297,126.56739290000405,5.535714285714286,7.246216251736596,7.246216251736596,7246198.715067659,17.53666666666739,1.0,100.0,0.0,0.0,2.857142857142857,5.714285714285714,5.714285714285714,5.535714285714286,2.13540370412525,5.714285714285714,5.714285714285714,14.285714285714285,1.8836103166852678,4.931153433663505,5.714285714285714,7.142857142857142,7.246216251736596,2.3809104346751777,8.571428571428571,8.571428571428571,14.433680943080358,1.8836103166852678,4.931153433663505,5.714285714285714,7.142857142857142,7.246216251736596,2.3809104346751777,8.571428571428571,8.571428571428571,14.433680943080358,5.009999999999938,5.770999999999922,8.424999999999866,11.234999999999804,17.53666666666739,10.754402263983632,30.00000000000189,30.00000000000189,30.00000000000189,5.134579407022102,51.28365641909114,133.57289101136848,252.80348370131105,1078.8821101465708,1043.5593560314117,2303.4525316064246,2311.7053425475956,2320.5946170799434,1883605.3066842677,4931130.699661805,5714255.714283715,7142847.362854143,7246198.715067659,2380910.599114634,8571408.966425572,8571420.170425572,14433674.573077358,1883605306684.2678,4931130699661.806,5714255714283.715,7142847362854.143,7246198715067.659,2380910599114.634,8571408966425.571,8571420170425.571,14433674573077.357,501.0,577.1,842.5,1123.5,1753.6666666666667,1075.4402263982668,3000.0,3000.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,14433674573077.357,14.285714285714285,14.433680943080358,14.433680943080358,6.369999999999909,0,3,126.21066437475383,637,14433674.573077358,"[0.0, 14.433680943080358, -6.369999999999909, -3.0]",0.1,0.25,0,48,48,0,0,48,0,46,2,42,6,580.4500000000094,5461.1600000002145,58045,546116,12.759449900011532,139.3972776000155,6.25,8.598834219433012,8.598834219433012,8598822.126722096,12.092708333333528,1.0,100.0,0.0,0.0,5.714285714285714,5.714285714285714,5.714285714285714,6.25,2.3802082170395478,8.571428571428571,8.571428571428571,14.285714285714285,0.0,5.714285714285714,8.19199970790318,8.571428571428571,8.598834219433012,2.5994145769239405,11.410842623029437,11.428571428571429,14.433680943080358,0.0,5.714285714285714,8.19199970790318,8.571428571428571,8.598834219433012,2.5994145769239405,11.410842623029437,11.428571428571429,14.433680943080358,5.009999999999938,6.397999999999908,6.859999999999898,8.524999999999864,12.092708333333528,8.058724500912541,11.424999999999802,30.00000000000189,30.00000000000189,5.135499484065804,110.78275285341151,132.17786304978654,218.97159369289875,469.2512083135568,677.6795544176175,247.36332015600055,1855.669643830323,2303.8224119991064,-30.00000000000189,5714255.714283715,8191989.915400931,8571419.896425571,8598822.126722096,2599419.0056394963,11410836.305526435,11428564.646568429,14433674.573077358,-30000000.00000189,5714255714283.715,8191989915400.931,8571419896425.571,8598822126722.097,2599419005639.497,11410836305526.436,11428564646568.43,14433674573077.357,501.0,639.8,686.0,852.5,1209.2708333333333,805.8724500911867,1142.5,3000.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,14466949662368.652,14.285714285714285,14.466956002371653,14.466956002371653,6.339999999999909,0,3,125.56607432849705,634,14466949.662368651,"[0.0, 14.466956002371653, -6.339999999999909, -3.0]",0.1,0.25,0,48,48,0,0,48,0,48,0,46,1,413.4199999999954,5874.58000000021,41342,587458,9.612401399994269,149.08097650000127,7.857142857142857,10.239940711430142,10.239940711430142,10239932.098510703,8.612916666666571,1.0,100.0,0.0,0.0,5.714285714285714,5.714285714285714,8.571428571428571,7.857142857142857,2.369017707396714,8.571428571428571,8.571428571428571,14.285714285714285,1.8834795270647322,7.989494323730468,8.571428571428571,11.414939335414342,10.239940711430142,2.3732279548305453,11.428571428571429,11.428571428571429,14.466956002371653,1.8834795270647322,7.989494323730468,8.571428571428571,11.414939335414342,10.239940711430142,2.3732279548305453,11.428571428571429,11.428571428571429,14.466956002371653,4.849999999999941,5.7939999999999205,6.2074999999999125,6.604999999999904,8.612916666666571,6.988498872651771,8.839999999999856,9.042999999999852,49.99999999999862,5.13574007571151,86.9883650675416,115.31724455486983,129.02943922486156,200.86071841559928,320.1835995676934,237.60218810709193,256.7127697538585,2341.661638651043,1883474.5170637323,7989456.653729869,8571420.113925572,11414933.23041134,10239932.098510703,2373229.404457007,11428562.50356843,11428564.87856843,14466949.662368651,1883474517063.7322,7989456653729.168,8571420113925.571,11414933230411.34,10239932098510.682,2373229404457.027,11428562503568.43,11428564878568.43,14466949662368.652,485.0,579.4,620.75,660.5,861.2916666666666,698.8498872651805,884.0,904.3,5000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,14466949662368.652,14.285714285714285,14.466956002371653,14.466956002371653,6.339999999999909,0,3,125.56607432849705,634,14466949.662368651,"[0.0, 14.466956002371653, -6.339999999999909, -3.0]",0.1,0.25,0,48,48,0,0,48,0,48,0,45,3,388.6200000000013,6263.200000000212,38862,626320,8.679214299947489,157.82842829998117,7.202380952380952,9.401888449986776,9.401888449986776,9401880.353734108,8.096250000000028,1.0,100.0,0.0,0.0,2.857142857142857,5.714285714285714,8.571428571428571,7.202380952380952,2.9154516419662992,8.571428571428571,8.571428571428571,14.285714285714285,1.8823514665876118,5.714145115443638,8.387929371425084,10.16465732029506,9.401888449986776,3.00284525573556,11.41634464263916,11.428571428571429,14.466956002371653,1.8823514665876118,5.714145115443638,8.387929371425084,10.16465732029506,9.401888449986776,3.00284525573556,11.41634464263916,11.428571428571429,14.466956002371653,3.759999999999964,4.940999999999939,5.984999999999917,6.244999999999911,8.096250000000028,5.847999880657661,8.557499999999862,9.214999999999849,30.00000000000189,5.135193850990618,56.54156526196748,88.14678481500596,120.40044102445245,264.75349542492387,530.9994215323663,217.96989293117076,259.2569486672059,2306.8397966157645,1882346.456586612,5714122.882441339,8387905.338923333,10164650.460292062,9401880.353734108,3002845.983637975,11416338.68013616,11428564.62756843,14466949.662368651,1882346456586.6118,5714122882441.339,8387905338923.334,10164650460292.062,9401880353734.11,3002845983637.975,11416338680136.16,11428564627568.43,14466949662368.652,376.0,494.1,598.5,624.5,809.625,584.7999880657204,855.75,921.5000000000001,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,14814027178297.781,14.285714285714285,14.814033508300781,14.814033508300781,6.3299999999999095,0,3,126.37415670417249,633,14814027.17829778,"[0.0, 14.814033508300781, -6.3299999999999095, -3.0]",0.1,0.25,0,48,48,0,0,48,0,48,0,48,0,325.1199999999965,6588.320000000208,32512,658832,7.179298700008076,165.08064790000208,7.857142857142857,10.17994517371768,10.17994517371768,10179938.400381472,6.77333333333326,1.0,100.0,0.0,0.0,2.857142857142857,5.714285714285714,8.571428571428571,7.857142857142857,3.1134992453861954,8.571428571428571,11.428571428571429,14.285714285714285,1.8831743512834822,5.714285714285714,8.571428571428571,11.401662826538086,10.17994517371768,2.76436352994315,11.416048322405134,13.834780556815012,14.814033508300781,1.8831743512834822,5.714285714285714,8.571428571428571,11.401662826538086,10.17994517371768,2.76436352994315,11.416048322405134,13.834780556815012,14.814033508300781,4.039999999999958,4.555999999999948,5.622499999999924,6.099999999999914,6.77333333333326,3.080137533004442,6.3749999999999085,8.761999999999858,23.180000000000824,5.146203040007094,62.72624841015786,91.96724466793239,118.15025794878602,149.67207101414337,142.94973029143998,126.2515374571085,228.40491531193263,697.8691666945815,1883169.3412824823,5714281.230282715,8571420.173925571,11401656.726535086,10179938.400381472,2764363.828327335,11416042.284902135,13834774.320812011,14814027.17829778,1883169341282.4822,5714281230282.715,8571420173925.571,11401656726535.086,10179938400381.473,2764363828327.335,11416042284902.135,13834774320812.012,14814027178297.781,404.0,455.6,562.25,610.0,677.3333333333334,308.0137533004366,637.5,876.2,2318.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,14814027178297.781,14.285714285714285,14.814033508300781,14.814033508300781,6.3299999999999095,0,3,126.37415670417249,633,14814027.17829778,"[0.0, 14.814033508300781, -6.3299999999999095, -3.0]",0.1,0.25,0,48,48,0,0,48,0,48,0,47,1,350.01999999999714,6938.340000000205,35002,693834,8.223323400015943,173.3836552000139,7.738095238095237,9.987924950463432,9.987924950463432,9987917.658377243,7.292083333333274,1.0,100.0,0.0,0.0,2.857142857142857,5.714285714285714,8.571428571428571,7.738095238095237,2.9714247557973055,8.571428571428571,9.428571428571441,14.285714285714285,1.8824495588030135,5.714285714285714,8.571428571428571,11.405838557652064,9.987924950463432,2.848826788519464,11.428571428571429,12.201062338692813,14.814033508300781,1.8824495588030135,5.714285714285714,8.571428571428571,11.405838557652064,9.987924950463432,2.848826788519464,11.428571428571429,12.201062338692813,14.814033508300781,3.789999999999963,4.382999999999951,5.84749999999992,6.31499999999991,7.292083333333274,3.840253875252339,8.402499999999865,9.013999999999852,30.00000000000189,5.135095969992108,57.230806837417184,96.77627763291821,124.64847937040031,177.20193827402713,308.3860522704341,144.23311814758927,248.47157249674203,2246.12700667046,1882444.5488020135,5714273.739283015,8571419.806425571,11405832.407649066,9987917.658377243,2848827.1493828655,11428562.48106843,12201055.987689814,14814027.17829778,1882444548802.0134,5714273739283.015,8571419806425.571,11405832407649.066,9987917658377.244,2848827149382.865,11428562481068.43,12201055987689.812,14814027178297.781,379.0,438.3,584.75,631.5,729.2083333333334,384.0253875252115,840.25,901.4000000000001,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,14814027178297.781,14.285714285714285,14.814033508300781,14.814033508300781,6.3299999999999095,0,3,126.37415670417249,633,14814027.17829778,"[0.0, 14.814033508300781, -6.3299999999999095, -3.0]",0.1,0.25,0,48,48,0,0,48,0,48,0,48,0,319.3099999999953,7257.6500000002,31931,725765,6.658047800010536,180.1136717000045,7.857142857142857,9.90970390183585,9.90970390183585,9909697.249541538,6.652291666666568,1.0,100.0,0.0,0.0,2.857142857142857,5.714285714285714,8.571428571428571,7.857142857142857,3.2732683535398857,8.571428571428571,11.428571428571429,14.285714285714285,1.883288792201451,5.714285714285714,8.512278284345355,11.116587775094168,9.90970390183585,3.189382203890504,11.428571428571429,14.097691127232142,14.814033508300781,1.883288792201451,5.714285714285714,8.512278284345355,11.116587775094168,9.90970390183585,3.189382203890504,11.428571428571429,14.097691127232142,14.814033508300781,3.749999999999964,5.003999999999937,5.5124999999999265,6.2349999999999115,6.652291666666568,1.8325031145759105,7.424999999999886,9.002999999999853,11.729999999999794,5.135290263075149,56.753316641971466,88.92735540846479,114.47251264983788,122.09771300139892,76.6226921905787,125.01438426692039,243.9335111288354,461.21418910846114,1883283.782200451,5714281.553282715,8512269.486842604,11116578.325091667,9909697.249541538,3189381.9420280787,11428562.44106843,14097684.826229142,14814027.17829778,1883283782200.451,5714281553282.715,8512269486842.6045,11116578325091.668,9909697249541.537,3189381942028.0786,11428562441068.43,14097684826229.143,14814027178297.781,375.0,500.4,551.25,623.5,665.2291666666666,183.25031145759496,742.5,900.3,1173.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
